keys,en,it,es,pt_BR,fr,nl,ar,ru,de,zh
RIGHT_SERPENT_EYE,Right Serpent Eye,Occhio Serpente Destro,Ojo derecho de serpiente,Olho Direito da Serpente,Œil Droit de Serpent,Rechter Serpent Oog,,Правый Глаз Змея,,蛇之右眼
RIGHT_SERPENT_EYE_DESC,"A bright jewel that shines sapphire.
Resembles the eye of a snake, perhaps it can fit somewhere...","Un gioiello luccicante che brilla di color zaffiro.
Assomiglia all'occhio di un serpente, forse si può inserire da qualche parte...","Una joya brillante que brilla como zafiro.
Se parece al ojo de una serpiente, quizá pueda encajar en algún lugar...","Uma jóia radiante que brilha como safira.
Lembra o olho de uma cobra, talvez caiba em algum lugar...","Un joyau brillant d'un outremer éclatant. 
Ressemble à l'œil d'un serpent, peut-être qu'il faut le placer quelque part...","Een helder juweel dat diepblauw schittert.
Lijkt op een oog van een slang, misschien past het ergens in...",,"Яркий драгоценный камень, сияющий сапфировым светом.
Напоминает змеиный глаз. Возможно, он куда-нибудь подойдет...",,"闪烁青光的明亮宝石。
形状很像蛇的眼睛，它似乎可以放在某个地方..."
ANCIENT_TEXT_2,Ancient Text 2,Manoscritto antico 2,Texto antiguo 2,Texto Antigo 2,Texte Antique 2,Eeuwenoude Text 2,,Древний Текст 2,Uralter Text 2,古代文书2
ANCIENT_TEXT_2_DESC,Light up the candles and a secret power will be bestowed upon you.,Accendi le candele e un potere segreto ti verrà conferito.,Enciende las velas y un poder secréto será otorgado a tí.,Acenda as velas e um poder secreto lhe será concedido.,"Illuminez les chandelles, et un pouvoir secret vous sera confié.",Verlicht de kandelaren en een geheime kracht zal aan je toebehoren.,,"Зажгите свечи, и вам будет дарована тайная сила.",,点亮蜡烛后你会觉醒一种新的神秘力量。
ANCIENT_TEXT_3,Ancient Text 3,Manoscritto antico 3,Texto antiguo 3,Texto Antigo 3,,Eeuwenoude Text 3,,Древний Текст 3,Uralter Text 3,古代文书3
ANCIENT_TEXT_3_DESC,"We eventually decided to hide the gemstone behind a statue.
No physical attack can break it, although if you use ice and fire...","Abbiamo deciso infine di nascondere la gemma dietro ad una statua.
Nessun attacco fisico la può scalfire, ma se si usa il ghiaccio ed il fuoco...","Eventualmente decidimos esconder la gema detrás de una estatua.
No ataque físico puede romperla, pero si usas hielo y fuego…","Finalmente decidimos esconder a gema atrás de uma estátua.
Nenhum ataque físico pode quebrá-la, mas se você usar gelo e fogo...",,"We hebben uiteindelijk besloten om de edelsteen achter een standbeeld te verstoppen.
Geen fysieke aanval die het kan breken, alhoewel als je ijs en vuur gebruikt...",,"...наконец мы решили спрятать драгоценный камень за статуей.
Никакая физическая атака не сможет разбить её, но если использовать огонь и лёд...",,"我们最终决定把宝石藏在雕像的后面。
没有物理攻击可以摧毁它，不敢你可能需要尝试冰冻跟火焰攻击..."
YELLOW_GEMSTONE,Yellow Gemstone,Gemma gialla,Gema amarilla,Gema Amarela,,Gele Edelsteen,,Жёлтый Драгоценный Камень,Gelber Edelstein,黄色宝石
YELLOW_GEMSTONE_DESC,"A gemstone that shines yellow.
It's part of a 4-gem collection.","Una gemma che brilla di color giallo.
Fa parte di una collezione da 4 pezzi.","Una gema que brilla de color amarillo.
Es parte de una colección de cuatro partes.","Uma pedra preciosa que brilha em amarelo.
Faz parte de uma coleção de 4 pedras.",,"Een edelsteen die geel blinkt.
Het is deel van een 4 delige edelsteen collectie.",,"Драгоценный камень, сияющий жёлтым.
Он - часть коллекции из четырёх драгоценных камней.",,"闪耀黄色光芒的宝石。
它是四宝石套装中的一部分。"
GREEN_GEMSTONE,Green Gemstone,Gemma verde,Gema verde,Gema Verde,,Groene Edelsteen,,Зелёный Драгоценный Камень,Grüner Edelstein,绿色宝石
GREEN_GEMSTONE_DESC,"A gemstone that shines green.
It's part of a 4-gem collection.","Una gemma che brilla di color verde.
Fa parte di una collezione da 4 pezzi.","Una gema que brilla de color verde.
Es parte de una colección de cuatro partes.","Uma pedra preciosa que brilha em verde.
Faz parte de uma coleção de 4 pedras.",,"Een edelsteen die groen blinkt.
Het is deel van een 4 delige edelsteen collectie.",,"Драгоценный камень, сияющий зелёным.
Он - часть коллекции из четырёх драгоценных камней.",,"闪耀绿色光芒的宝石。
它是四宝石套装中的一部分。"
BLUE_GEMSTONE,Blue Gemstone,Gemma blu,Gema azul,Gema Azul,,Blauwe Edelsteen,,Синий Драгоценный Камень,Blauer Edelstein,蓝色宝石
BLUE_GEMSTONE_DESC,"A gemstone that shines blue.
It's part of a 4-gem collection.","Una gemma che brilla di color blu.
Fa parte di una collezione da 4 pezzi.","Una gema que brilla de color azul.
Es parte de una colección de cuatro partes.","Uma pedra preciosa que brilha em azul.
Faz parte de uma coleção de 4 pedras.",,"Een edelsteen die blauw blinkt.
Het is deel van een 4 delige edelsteen collectie.",,"Драгоценный камень, сияющий синим.
Он - часть коллекции из четырёх драгоценных камней.",,"闪耀蓝色光芒的宝石。
它是四宝石套装中的一部分。"
ORANGE_GEMSTONE,Orange Gemstone,Gemma arancione,Gema naranja,Gema Laranja,,Oranje Edelsteen,,Оранжевый Драгоценный Камень,Orangener Edelstein,橙色宝石
ORANGE_GEMSTONE_DESC,"A gemstone that shines orange.
It's part of a 4-gem collection.","Una gemma che brilla di color arancione.
Fa parte di una collezione da 4 pezzi.","Una gema que brilla de color naranja.
Es parte de una colección de cuatro partes.","Uma pedra preciosa que brilha em laranja.
Faz parte de uma coleção de 4 pedras.",,"Een edelsteen die oranje blinkt.
Het is deel van een 4 delige edelsteen collectie.",,"Драгоценный камень, сияющий оранжевым.
Он - часть коллекции из четырёх драгоценных камней.",,"闪耀橙色光芒的宝石。
它是四宝石套装中的一部分。"
BRONZE,Bronze,Bronzo,Bronce,Bronze,Bronze,Brons,,Бронза,Bronze,铜矿
BRONZE_DESC,"This material is often used to craft simple works.
Cheap and easy to use and find.","Questo materiale è spesso usato per fare semplici lavori.
Facile ed economico da utilizzare e trovare.","Este material a menudo es usado para elaborar obras simples.
Barato y fácil de usar y encontrar.","Este material é frequentemente usado para criar peças simples.
Barato, fácil de usar e de encontrar.","Ce matériau est souvent employé pour créer des oeuvres simples. 
Peu couteux, facile d'accès et d'utilisation.","Dit materiaal is vaak gebruikt voor simpele creaties.
Goedkoop en makkelijk om te gebruiken en te vinden.",,"Этот материал часто используется для изготовления простых изделий.
Он дешёвый, его легко использовать и найти.",,"这种材料通常用来制作简单的工具。
便宜且易获得。"
IRON,Iron,Ferro,Hierro,Ferro,Fer,Ijzer,,Железо,Eisen,铁矿
IRON_DESC,A gray metal that is widely used by blacksmiths.,Un metallo grigio utilizzato molto spesso dai fabbri.,Un metal gris que es ampliamente usado por herreros.,Um material cinza amplamente utilizado por ferreiros.,,Een grijs metaal veel gebruikt door smeden.,,"Серый металл, который широко используется кузнецами.",,一种被铁匠们所广泛使用的灰色材料。
SKULL,Skull,Teschio,Cráneo,Crânio,Crâne,Schedel,,Череп,Schädel,头盖骨
SKULL_DESC,"This is a real human skull.
It still emanates some dark magic from the inside.","Questo è un teschio umano vero e proprio.
Emana ancora un po' di magia oscura da dentro.","Este es un cráneo humano real.
Aún emana algo de magia oscura desde el interior.","Este é um crânio humano de verdade.
Ele ainda emana um pouco de magia negra do seu interior.","C'est un vrai crâne humain. 
Il en émane encore une energie obscure de l'intérieur.","Dit is een echte menselijke schedel.
Er straalt nog steeds wat zwarte magie vanbinnen.",,"Это настоящий человеческий череп.
Изнутри всё ещё исходит тёмная магия.",,"这确实是人类的头盖骨。
在它的内部仍然会不时有黑魔法能量流出。"
ALUMINUM,Aluminum,Alluminio,Aluminio,Alumínio,Aluminium,Aluminium,,Аллюминий,Aluminium,铝矿
ALUMINUM_DESC,"A very light material, often used by alchemists.","Un materiale molto leggero, utilizzato comunemente dagli alchimisti.","Un material muy ligero, usualmente consumido por alquimistas.","Um material muito leve, geralmente usado por alquimistas.","Un materiel très léger, souvent utilisé par les alchimistes.","Een erg licht materiaal, meestal gebruikt door alchemisten.",,"Очень лёгкий материал, им часто пользуются алхимики.",,炼金术师们经常使用的十分轻盈的材料。
STEEL_DUST,Steel Dust,Polvere d'acciaio,Polvo de acero,Pó de Aço,Poudre d'acier,Stalen Stof,,Стальной Порошок,Stahlstaub,钢屑
STEEL_DUST_DESC,"Steel reduced to dust, usually used to reinforce some existing gear.","Acciaio ridotto in polvere, utilizzato spesso per rafforzare oggetti già creati.","Acero reducido a polvo, usualmente usado para reforzar algún equipamiento existente.","Aço reduzido a pó, geralmente usado para reforçar equipamentos.","De l'acier réduit en poudre, souvent utilisé pour renforcer de l'équipement déjà existant.","Staal verpulverd tot stof, meestal gebruikt voor verbetering van bestaande uitrusting.",,"Сталь, измельчённая в порошок, обычно используется для укрепления готовых изделий.",,磨成细屑的钢材，通常会用来强化一些已有的装备。
WILD_MEMORY,Wild Memory,Memoria selvaggia,Memoria salvaje,Memória Selvagem,Memoire sauvage,Wilde Herinnering,,Дикая Память,,野生记忆
WILD_MEMORY_DESC,"A stone fragment with some symbols carved on it.
Used to create some simple works.","Un pezzo di pietra con alcuni simboli incisi sopra.
Utile per creare delle cose semplici.","Un fragmento de piedra con unos símbolos tallados encima.
Usado para crear obras simples.","Um fragmento de pedra com alguns símbolos esculpidos.
Usado para criar algumas obras simples.","Un fragment de pierre avec des symboles gravés dessus. 
Utilisée pour créer des œuvres simples.","Een stenen fragment met wat symbolen erin gekerft.
Gebruikt bij sommige simpele creaties.",,"Фрагмент камня с вырезанными на нём древними символами.
Используется для создания простых изделий.",,"一块石板，上面刻有一些符号。
通常用来制作简单的工具。"
AQUAMARINE,Aquamarine,Acquamarina,Aguamarina,Água-marinha,Aigue-marine,Aquamarijn,,Аквамарин,,海蓝宝石
AQUAMARINE_DESC,"A blue ore that reminds of the sea, thanks to its color and clearness.","Un minerale blu che fa pensare al mare, grazie alla sua purezza e il suo colore.","Un mineral azul que recuerda al mar, gracias a su color y claridad.",Um minério azul que lembra o mar pela sua cor e transparência.,Un minerai bleu rappelant la mer de par sa couleur et sa clarté.,"Een blauw gesteente dat je laat denken aan de zee, door zijn kleur en helderheid.",,"Руда, напоминающая о море благодаря своему цвету и прозрачности.",,这种宝石因为它美丽而清澈的颜色，会令人联想起大海。
JADE,Jade,Giada,Jade,Jade,Jade,Jade,,Нефрит,,玉石
JADE_DESC,"This material isn't really used to create weapons...
Perhaps something else can be made with this.","Questo materiale non è spesso usato per creare armi...
Forse ci si può fare altro.","Este material realmente no se usa para crear armas...
Quizás se pueda hacer algo más con esto.","Este material não é realmente usado para criar armas...
Talvez outra coisa possa ser feita com isto.","Ce materiau n'est pas vraiment utile pour la création d'armes... 
Peut-être est-il possible d'en faire autre chose.","Dit materiaal is niet echt gebruikt om wapens te creëren...
Misschien kan iets anders hiermee gemaakt worden.",,"Этот драгоценный материал не используется для создания оружия...
Возможно, из него можно сделать что-то еще.",,"这种材料通常不会被用来制作武器...
可能制作其他的装备会用到它。"
STEEL,Steel,Acciaio,Acero,Aço,Acier,Staal,,Сталь,Stahl,钢材
STEEL_DESC,"Hardened metal used to make weapons, but also some kind of armor.","Materiale indurito utilizzato per fare armi, ma anche qualche tipo di armatura.","Metal endurecido utilizado para fabricar armas, pero también algún tipo de armadura.","Metal endurecido usado para fazer armas, mas também alguns tipos de armaduras.",Un matériau renforcé utilisé pour fabriquer des armes ainsi que certains types d'armures.,"Verhard metaal gebruikt om wapens te maken, maar ook een soort harnas.",,"Закалённый металл, используемый для изготовления оружия, а также некоторых видов доспехов.",,通常被用来制作武器的坚硬材料，不过也可以用它制作护甲。
KNIGHTS_VEIN,Knight's Vein,Vena del cavaliere,Vena del caballero,Veia do Cavaleiro,Veine de Chevalier,Ridders Ader,,Жила Рыцаря,,骑士血脉
KNIGHTS_VEIN_DESC,"The blood of a royal knight, solidified by magic.
Has a weird purple color and is incredibly hot.","Il sangue di un cavaliere reale, solidificato dalla magia.
Ha uno strano color viola ed è molto bollente.","La sangre de un caballero real, solidificada por magia.
Tiene un extraño color morado y es increíblemente caliente.","O sangue de um cavaleiro real, solidificado por magia.
Tem uma cor roxa estranha e é incrivelmente quente.","Le sang d'un chevalier royal, solidifié par magie. 
A une étrange teinte mauve, et est incroyablement chaud.","Het bloed van een edele ridder, vervast door magie.
Heeft een rare paarse kleur en is enorm heet.",,"Кровь благородного рыцаря, затвердевшая под влиянием магии.
Имеет странный фиолетовый цвет и невероятно горяча.",,"由魔法所凝固的皇家骑士的血脉。
呈现奇特的紫色，而且拿着时感觉十分地热。"
DEMONS_VEIN,Demon's Vein,Vena del demone,Vena del demonio,Veia do Demônio,Veine de Demon,Demoons Ader,,Жила Демона,,恶魔血脉
DEMONS_VEIN_DESC,"The blood of a demon solidified by magic.
Burns hot-red and emanates a dark aura.","Il sangue di un demone solidificato dalla magia.
Brucia di un color rosso ed emana un'aura oscura.","La sangre de un demonio, solidificada por magia.
Arde al rojo vivo y emana un aura oscura.","O sangue de um demônio solidificado por magia.
Arde em um vermelho intenso e emana uma aura sombria.","Le sang d'un démon solidifié par magie. 
Brule d'un rouge enflammé, et émet une aura sombre.","Het bloed van een demoon, vervast door magie.
Brand vlammend-rood en straalt een duister aura uit.",,"Кровь демона, затвердевшая под влиянием магии.
Горит ярко-красным и излучает тёмную ауру.",,"由魔法所凝固的恶魔的血脉。
燃烧时呈炽热的红色，并散发出黑暗的气息。"
ETHER,Ether,Etere,Éter,Éter,Éther,Ether,,Эфир,,以太
ETHER_DESC,"Many question this material's existence, as it is said that it makes up most of the universe.","In molti discutono dell'esistenza di questo materiale, che si dice formi la maggior parte dell'universo.","Muchos cuestionan la existencia de este material, ya que se dice que constituye la mayor parte del universo.",Muitos debatem a existência deste material. Dizem que ele compõe a maior parte do universo.,"Beaucoup doutent de l'existence de ce matériau, car on raconte qu'il compose la plupart de l'univers.","Veel vragen zijn er over het bestaan van dit materiaal, het is gezegd dat het grootste deel van het universum er uit bestaat.",,"Многие вопрошают существование этого материала, поскольку считается, что он составляет большую часть вселенной.",,有不少人质疑这材料是否真实存在，因为据说它构成了宇宙的绝大部分。
PRINCES_VEIN,Prince's Vein,Vena del principe,Vena del principe,Veia do Príncipe,Veine de Prince,Prins Ader,,Жила Принца,,王子血脉
PRINCES_VEIN_DESC,"The blood of a royal member, solidified by magic.
Emanates a strong, holy power.","Il sangue del membro di una famiglia reale, solidificato dalla magia.
Emana un potere sacro e forte.","La sangre de un miembro real, solidificada por magia.
Emana un fuerte poder sagrado.","O sangue de um membro da realeza, solidificado por magia.
Emana um poder forte e sagrado.","Le sang d'un être royal, solidifié par magie. 
Émet un forte puissance sacrée.","Het bloed van een lid van adel, vervast door magie.
Straalt een sterke, heilige gloed uit.",,"Кровь наследника королевской семьи, затвердевшая под влиянием магии.
От неё исходит мощная святая сила.",,"由魔法所凝固的皇族的血脉。
会散发出强大，神圣的能量。"
DRAGON_SCALE,Dragon Scale,Scaglia di drago,Escama de dragón,Escama de Dragão,Ecaille de Dragon,Draken Schub,,Драконья Чешуя,Drachenschuppe,龙之逆鳞
DRAGON_SCALE_DESC,"Scales taken from a deceased dragon.
Can be useful to create weapons effective against them.","Scaglia presa da un drago deceduto.
Può essere utile per creare armi efficaci contro i draghi stessi.","Escamas sacadas de un dragón muerto.
Pueden ser útiles para crear armas efectivas contra ellos.","Escama retirada de um dragão abatido.
Ironicamente, pode ser usada para criar armas eficazes contra os próprios dragões.","Des écailles provenant d'un dragon décédé. 
Peuvent être utiles pour créer des armes efficaces contre ces mêmes dragons.","Schubben verkregen van een overleden draak.
Kan handig zijn om wapens te maken die effectief tegen ze zijn.",,"Чешуя, взятая с умершего дракона.
Может быть полезна для создания оружия, эффективного против них же.",,"从已死的龙身上采集的龙鳞。
可以用来打造对龙特攻的武器。"
FANG,Fang,Zanna,Colmillo,Presa,Croc,Tand,,Клык,Reißzahn,兽牙
FANG_DESC,"A fang taken from a creature of the night.
Can be used to create sharp, deadly blades.","Una zanna presa da una creatura della notte.
Può essere usata per creare lame affilate e letali.","Un colmillo sacado de una criatura de la noche.
Puede ser usado para crear cuchillas afiladas y mortales.","Uma presa retirada de uma criatura da noite.
Pode ser usada para criar lâminas afiadas e mortais.","Le croc d'une créature de la nuit. 
Peut être utilisé pour créer des lames aiguisées et mortelles.","Een tand verkregen van een beest van de nacht.
Kan gebruikt worden om scherpe, dodelijke lemmets te maken.",,"Клык, взятый у создания ночи.
Может быть использован для создания острых смертоносных лезвий.",,"取自夜行生物的獠牙。
可以用来打造锋利，致命的刀刃。"
ANCIENT_MEMORY,Ancient Memory,Memoria antica,Memoria antigüa,Memória Antiga,Memoire Antique,Eeuwenoude Herinnering,,Память Древности,Uralte Erinnerung,远古记忆
ANCIENT_MEMORY_DESC,"A very old fragment of stone with instructions carved on it.
Used for primitive gear.","Un pezzo di pietra molto antico, con istruzioni incise sopra.
Utilizzato per armi ed armature primitive.","Un fragmento de piedra muy viejo con instrucciones grabadas.
Se usaba para equipo primitivo.","Um fragmento de pedra muito antigo com instruções esculpidas.
Usado para equipamentos primitivos.","Un très ancien fragment de pierre avec des instructions gravées dessus. 
Utilisée pour des équipements primitifs.","Een heel oud fragment van een steen met instructies erin gekerft.
Gebruikt voor primetieven uitrusting.",,"Очень старый фрагмент камня с вырезанными на нём инструкциями.
Используется для изготовления примитивного снаряжения.",,"一块刻有部分说明的古老石片。
可以用来打造原始装备。"
FORGOTTEN_MEMORY,Forgotten Memory,Memoria dimenticata,Memoria olvidada,Memória Esquecida,Memoire oubliée,Vergeten Herinnering,,Забытое Воспоминание,Vergessene Erinnerung,遗忘的记忆
FORGOTTEN_MEMORY_DESC,A stone fragment so old that nobody knows anymore what's carved in it.,Un pezzo di pietra così antico che nessuno sa più cosa ci sia scritto sopra.,Un fragmento de piedra tran viejo que ya nadie sabe qué hay tallado en él.,Um fragmento de pedra tão antigo que ninguém mais sabe o que está esculpido nele.,Un fragment de pierre tellement ancien que plus personne ne sait ce qui est gravé dessus.,Een stenen fragment zo oud dat niemand nog weet wat erin gekerft staat.,,"Фрагмент камня, такой древний, что никто уже не знает, что на нём вырезано.",,一块年代距今过于久远的石片，几乎没有人能认出上面刻了些什么。
CRYSTAL,Crystal,Cristallo,Crístal,Cristal,Cristal,Kristal,,Кристалл,Kristall,水晶
CRYSTAL_DESC,"A rare material usually found in the depths of some mines.
Can be used to create strong weapons, but not suited for armor.","Un materiale raro solitamente reperibile nelle profondità di alcune miniere.
Può essere usato per fabbricare armi potenti, ma non molto per le armature.","Un material raro que suele encontrarse en las profundidaes de algunas minas.
Puede usarse para crear armas potentes, pero no es apto para armaduras.","Um material raro, geralmente encontrado nas profundezas de algumas minas.
Pode ser usado para criar armas fortes, mas não é adequado para armaduras.","Un matériau rare trouvé habituellement dans les profondeurs de certaines grottes. 
Peut être utilisé pour créer de puissantes armes, mais ne convient pas aux armures.","Een zeldzaam materiaal meestal gevonden in de diepte van mijnen.
Kan gebruikt worden om sterke wapens te maken, maar niet bruikbaar voor uitrusting.",,"Редкий материал, обычно встречающийся и добываемый в глубинах шахт.
Может использоваться для изготовления сильного оружия, но не подходит для доспехов.",,"一种稀有的材料，通常在矿脉的最深处才能采集到。
可以用来打造强力的武器，但是不适合打造装甲。"
PURPLE_GLITTER,Purple Glitter,Splendore violetto,Brillo púrpura,Brilho Púrpura,Mauve Scintillant,Paars Glitter,,Фиолетовый Блеск,Lila Glitzer,紫色闪光
PURPLE_GLITTER_DESC,"A very strange purple crystal, said to have fallen from the sky.
Used to create legendary weaponry.","Un cristallo viola molto strano: si dice che sia caduto dal cielo.
Utilizzato per creare armi leggendarie.","Un extrañísimo crístal púrpura, que se dice que cayó del cielo
Usado para crear armas legendarias.","Um cristal roxo muito estranho, que dizem ter caído do céu.
Usado para criar armas lendárias.","Un très étrange cristal violet, on raconte qu'il est tombé du ciel. 
Utilisé pour créer des armements légendaires.","Een heel vreemd paars kristal, gezegd te zijn gevallen van de lucht.
Gebruikt om legendarische wapens te maken.",,"Умопомрачительный кристалл, который, по слухам, упал с неба.
Используется для создания легендарного оружия.",,"一种十分独特的紫水晶，据传是从天而降的。
可以用来打造传说中的武具。"
LIGHTNING_CRYSTAL,Lightning Crystal,Cristallo di fulmini,Crístal relámpago,Cristal Relâmpago,Cristal de Foudre,Bliksem kristal,,Кристалл Молнии,Blitzkristall,闪电水晶
LIGHTNING_CRYSTAL_DESC,"A crystal said to be infused with the power of thunderstorms.
Some say it contains some godly powers.","Un cristallo che si dice contenga i poteri delle tempeste.
Alcuni dicono che possegga invece poteri divini.","Un cristal que se dice estár imbuido con del poder de las tormentas.
Algunos dicen que contiene poderes divinos.","Um cristal que dizem estar imbuído do poder das tempestades.
Alguns dizem que ele contém poderes divinos.","On raconte que ce cristal est infusé du pouvoir de la foudre. 
Certains disent que son pouvoir est divin.","Een kristal gezegd te zijn doordrenkt met de kracht van bliksemstormen.
Men zegt dat het goddelijke krachten bezit.",,"Поговаривают, что сий кристалл наполнен силой грозы.
Некоторые верят, что это божественная сила.",,"据说这是一种蕴含雷暴之力的水晶。
有人说它蕴藏着某种神力。"
SUN_TEARS,Sun Tears,Lacrime del sole,Lagrimas de sol,Lágrimas do Sol,Larmes du Soleil,Zonne Tranen,,Слёзы Солнца,Sonnentränen *,太阳之泪
SUN_TEARS_DESC,"Rays of the sun captured inside amber.
Shines brightly.","Raggi di sole catturati dentro dell'ambra.
Molto luccicante.","Rayos del sol capturados dentro de ámbar.
Brilla intensamente.","Raios de sol capturados em âmbar.
Brilha intensamente.",Des rayons du soleil capturés dans de l'ambre. Brille de mille feux.,"Stralen van de zon gevangen in amber.
Schijnt helder.",,"Солнечные лучи, запечатлённые в янтаре.
Ярко сияет согревающим светом.",,"包裹着太阳光的琥珀。
闪烁着明亮的光芒。"
SEAL_OF_DARKNESS,Seal of Darkness,Sigillo dell'Oscurità,Sello de la oscuridad,Selo da Escuridão,Sceau des Ténèbres,Zegel van Duisternis,,Печать Тьмы,Siegel der Finsterniss,暗黑封印
SEAL_OF_DARKNESS_DESC,"A stone that contains remnants of Dracula's Curse.
Can be used to create demonic weapons, but should you?","Una pietra che contiene i resti della maledizione di Dracula.
Può essere usata per creare armi demoniache, ma dovresti farlo?","Una piedra que contiene residuos de la maldición de Drácula.
Puede usarse para crear armas demoniacas, ¿pero deberías?","Uma pedra que contém resquícios da Maldição de Drácula.
Pode ser usada para criar armas demoníacas, mas seria certo?","Une pierre contenant les restes de la malédiction de Dracula. 
Utile pour créer des armes demoniaques, mais est-ce sûr ?","Een steen die overblijfselen van Dracula's vloek bevat.
Kan gebruikt worden om demonische wapens te creëren, maar moet je dat doen?",,"Пурпурный камень, содержащий остатки Проклятия Дракулы.
Его можно использовать для создания демонического оружия, но стоит ли это делать?",,"一块封存有德古拉的诅咒的石片。
可以用来打造魔性的武器，但你真的愿意冒这个险吗？"
SEAL_OF_COURAGE,Seal of Courage,Sigillo del Coraggio,Sello de coraje,Selo da Coragem,Sceau du Courage,Zegel van Dapperheid,,Печать Мужества,Siegel der Tapferkeit,勇气封印
SEAL_OF_COURAGE_DESC,"A stone that is warm to the touch, said to bestow bravery to whoever finds it.",Si dice che sia una pietra così tiepida al tatto tale da conferire audacia a chi la trova.,"Una piedra que es cálida al toque, se dice que le otorga valentía a quién la encuentre.","Uma pedra quente ao toque, que dizem conferir bravura a quem a encontra.","Une pierre chaleureuse au toucher, on raconte qu'elle donne de la bravoure à celui qui la trouve.","Een steen die warm aanvoelt, gezegd om moed te geven aan degene die het vind.",,"Тёплый на ощупь камень, по поверью, дарует храбрость тому, кто его найдет.",,一种特殊的石头，触摸时会感到温暖，据传它会赋予找到它的人勇气。
SEAL_OF_INNOCENCE,Seal of Innocence,Sigillo d'Innocenza,Sello de inocencia,Selo da Inocência,Sceau de l'Innocence,Zegel van Onschuld,,Печать Невинности,Siegel der Unschuld,无罪封印
SEAL_OF_INNOCENCE_DESC,"A stone said to be made with the tears of innocent people.
Its existence proves that this world is cruel.","Si dice che sia una pietra creata con le lacrime di persone innocenti.
La sua esistenza dimostra la crudeltà di questo mondo.","Una piedra dicha haber sido creada por lágrimas de gente inocente.
Su existencia es prueba que este mundo es cruel.","Uma pedra que dizem ter sido feita com lágrimas de pessoas inocentes.
Sua existência prova que este mundo é cruel.","Une pierre qui selon les dires est faite de larmes d'innocents. 
Son existence démontre la cruauté de ce monde.","Een steen gezegd te zijn gemaakt met de tranen van onschuldige mensen.
Het bestaan ervan laat zien dat de wereld wreed is.",,"Камень, созданный из слёз невинных людей.
Его существование подтверждает жестокость мира.",,"据说这是一块用无辜者的眼泪凝结而成的石头。
它的存在证明了这个世界的残酷。"
GOLDEN_TEARS,Golden Tears,Lacrime d'oro,Lágrimas doradas,Lágrimas Douradas,Larmes d'or,Gouden Tranen,,Золотые Слёзы,Goldene Tränen,黄金之泪
GOLDEN_TEARS_DESC,"Gold reduced to dust by some kind of magic.
Just a bit of it would be enough to satisfy your ambitions.","Oro ridotto in polvere per via di una magia.
Anche solo un po' di questa polvere basta per soddisfare le tue ambizioni.","Oro reducido a polvo por algún tipo de magia.
Solo un poco sería suficiente para satisfacer tus ambiciones.","Ouro reduzido a pó por algum tipo de magia.
Só um pouco dele bastaria para satisfazer suas ambições.","De l'or réduit en poussière parune sorte de magie. 
Une petite pincée suffirait à satisfaire vos ambitions.","Goud verpulvert tot stof door een soort magie.
Al een beetje zou genoeg zijn om je ambities te vervullen.",,"Золото, обращённое в пыль с помощью неизвестной магии.
Самой малости уже достаточно для удовлетворения ваших амбиций.",,"被某种魔法制成粉末的黄金。
只需一点点便可满足你的野心与抱负。"
JET_BLACK,Jet Black,Nero ebano,Negro azabache,Preto Absoluto,Noir de Jais,Jet Zwart,,Черносмол,,漆黑之石
JET_BLACK_DESC,A simple material used since the first days of mankind.,Un materiale semplice utilizzato sin dagli albori dell'umanità.,Un material simple usado desde los principios de la humanidad.,Um material simples usado desde os primórdios da humanidade.,"Un matériau simple, utilisé depuis l'aube de l'humanité.",Een simpel materiaal gebruikt sinds de eerste dagen van de mensheid.,,"Простой материал, используемый с зари человечества.",,一种自人类诞生之初就使用过的简单的材料。
WHITE_STEEL,White Steel,Acciaio bianco,Acero blanco,Aço Branco,Acier Blanc,Wit Staal,,Белая Сталь,Weißer Stahl,白钢
WHITE_STEEL_DESC,"A type of steel that is cheap to use, but weak by itself.
Works best when combined with other materials.","Un tipo d'acciaio economico da usare, ma debole di base.
Funziona molto bene quando viene combinato con altri materiali.","Un tipo de acero que es barato de usar, débil por sí mismo.
Funciona mejor cuando es combinado con otros materiales.","Um tipo de aço barato de usar, mas fraco por si só.
Funciona melhor quando combinado com outros materiais.","Un type d'acier peu onéreux, mais fragile en lui-même. 
Il est plus efficace une fois combiné à d'autres matériaux.","Een type staal dat goedkoop te gebruiken is, maar zwak is in zijn eentje.
Werkt het best wanneer het gecombineert is met andere materialen.",,"Тип стали, дешёвый в пользовании, но непрочный сам по себе.
Наиболее полезна в сочетании с другими материалами.",,"一种特殊的钢材，虽然价格低廉但是自身强度较低。
与其他材料结合使用时效果最佳。"
RED_STEEL,Red Steel,Acciaio rosso,Acero rojo,Aço Vermelho,Acier Rouge.,Rood Staal,,Красная Сталь,Roter Stahl,红钢
